"seller_id","seller_zip_code","seller_city","seller_state"
"3442f8959a84dea7ee197c632cb2df15","13023",campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,"13844",mogi guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,"20031",rio de janeiro,RJ
c0f3eea2e14555b6faeea3dd58c1b1c3,"04195",sao paulo,SP
"51a04a8a6bdcb23deccc82b0b80742cf","12914",braganca paulista,SP
c240c4061717ac1806ae6ee72be3533b,"20920",rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,"55325",brejao,PE
"1b938a7ec6ac5061a66a3766e0e75f90","16304",penapolis,SP
"768a86e36ad6aae3d03ee3c6433d61df","01529",sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,"80310",curitiba,PR
"8cb7c5ddf41f4d506eba76e9a4702a25","75110",anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,"13530",itirapina,SP
"8bd0f31cf0a614c658f6763bd02dea69","01222",sao paulo,SP
"05a48cc8859962767935ab9087417fbb","05372",sao paulo,SP
"7b8e8ec35bad4b0ef7e3963650b0a87b","88705",tubarao,SC
"1444c08e64d55fb3c25f0f09c07ffcf2","42738",lauro de freitas,BA
"166e8f1381e09651983c38b1f6f91c11","88780",imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,"70740",brasilia,DF
d2e753bb80b7d4faa77483ed00edc8ca,"45810",porto seguro,BA
f9ec7093df3a7b346b7bcf7864069ca3,"05138",sao paulo,SP
"4e6015589b781adaa5ce7f1892d06bb1","11440",guaruja,SP
"4cf490a58259286ada5ba8525ba9e84a","14910",tabatinga,SP
f7496d659ca9fdaf323c0aae84176632,"04156",sao paulo,SP
"2ff97219cb8622eaf3cd89b7d9c09824","13320",salto,SP
"8bd0e3abda539b9479c4b44a691be1ec","98910",tres de maio,RS
"2a1348e9addc1af5aaa619b1a3679d6b","30494",belo horizonte,MG
"2078fe5066350e7d220c0ad3a3bbc6c1","86707",arapongas,PR
"116ccb1a1604bc88e4d234a8c23f33de","09850",sao bernardo do campo,SP
"430315b7bb4b6e4b3c978f9dfa9b0558","04857",sao paulo,SP
"406822777a0b9eb5c50e442dd4cd3ec5","18500",tatui,SP
"4dbd95a08b31ede5c82d3f861cb1ce1a","80210",curitiba,PR
e9e446d01bd10a97a8ffcfc4a3a20cb2,"02261",sao paulo,SP
d52cbce9845184537284a23c3bc3da0e,"88495",garopaba,SC
d9a84e1403de8da0c3aa531d6d108ba6,"03562",sao paulo,SP
"9c690ceacd5c66731bf443ea810195cb","37650",camanducaia,MG
"1f9ab4708f3056ede07124aad39a2554","17602",tupa,SP
"1961c3e1272bfeceb05d0b78b5bbfdaf","07241",guarulhos,SP
d3e7d37c0df9aef383f3f2a15b0dddfb,"83050",sao jose dos pinhais,PR
ec2e006556300a79a5a91e4876ab3a56,"03445",sao paulo,SP
b2a6d334e2833acea353624840e25a0e,"04133",sao paulo,SP
d3674f271c91f824f82d24d92011f669,"72233",brasilia,DF
"768de2a4fc06aacecb9a586ccc30746a","70645",brasilia,DF
a81466620e46a6970b22ef40379fdfc9,"88730",sao ludgero,SC
"5c030029b5916fed0986310385ec9009","88075",sao jose,SC
c0f783394e37cd9c9d7f5f81141450fa,"13416",piracicaba,SP
c353f8fc0ce8344999f17d578eb69a5e,"90850",porto alegre,RS
"8444e55c1f13cd5c179851e5ca5ebd00","37584",congonhal,MG
"28a26ebce31d5918b181ede016fd693b","31950",belo horizonte,MG
"41ab63a91b8b264e8c8780368bf1dd5b","31555",belo horizonte,MG
"8759e7aedd644f487315e5860962f162","09251",santo andre,SP
e546117ed9cafbc40239c0c78635c584,"04705",sao paulo,SP
d71d863e5ef30d94e440c11be17dcd8f,"06144",osasco,SP
"0c7533c71df861ec58ad7ff999ed0e8d","13270",valinhos,SP
ef990a83bbea832f36ebe81376335aa8,"89214",joinville,SC
"41e0fa5761c886a630994a55c12087e7","11446",guaruja,SP
"0747d5bb69f0586cc869d8af4c50f93e","28990",saquarema,RJ
"7d294cf9a6a69dc6a0c3e540fff0e039","88390",barra velha,SC
